,Entity,Year,Anorexia,Bulimia
3640,Mauritius,1990,420.24909013800004,1239.78690402
3668,Mexico,1990,39920.3072813,207801.511804
3696,Micronesia (country),1990,28.726626822800004,72.9308598468
3724,Middle SDI,1990,478760.23656800005,1600263.58824
3752,Moldova,1990,1402.53475597,5358.69241674
3780,Mongolia,1990,640.042667567,2278.80451995
3808,Montenegro,1990,212.607381493,879.5243187939999
3836,Morocco,1990,6827.39278376,28971.022890900003
3864,Mozambique,1990,2662.50331657,7909.12668022
3892,Myanmar,1990,9091.67470079,23053.082420200004
3920,Namibia,1990,526.515765074,1776.72928598
3948,Nepal,1990,4344.01285229,14057.783506200001
3976,Netherlands,1990,15224.2074205,34760.1379718
4004,New Zealand,1990,4930.73108402,15446.1636345
4032,Nicaragua,1990,1271.63628099,5511.07983982
4060,Niger,1990,1698.13283647,5219.5259227
4088,Nigeria,1990,26413.4632438,85457.131284
4116,North Africa and Middle East,1990,104125.925119,469091.718549
4144,North America,1990,305648.683369,960152.995965
4172,North Korea,1990,6775.64533944,17779.132103599997
4200,Northern Ireland,1990,1581.73547912,4742.69922981
4228,Northern Mariana Islands,1990,34.6903932704,109.03389287700001
4256,Norway,1990,4445.49671285,16258.488505899999
4284,Oceania,1990,1869.94064117,5005.69337991
4312,Oman,1990,724.95694823,3551.85047926
4340,Pakistan,1990,29543.4095051,97022.11695589998
4368,Palestine,1990,453.690819831,1796.95357089
4396,Panama,1990,1002.85631094,4775.66979523
4424,Papua New Guinea,1990,1062.55706375,2797.18637522
4452,Paraguay,1990,1566.09328756,6337.88186079
4480,Peru,1990,8174.70059061,55737.0209555
4508,Philippines,1990,19954.9850345,52208.4038466
4536,Poland,1990,12153.8162424,51566.0126207
4564,Portugal,1990,9876.62745421,27724.424228500004
4592,Puerto Rico,1990,1948.12498918,10531.6404476
4620,Qatar,1990,232.67299007,1407.91722746
4648,Romania,1990,7346.5504757,28603.6072311
4676,Russia,1990,57380.043188100004,258781.039169
4704,Rwanda,1990,1616.29042469,5149.16529967
4732,Saint Lucia,1990,58.2563901224,286.120881714
4760,Saint Vincent and the Grenadines,1990,41.641627313200004,200.817553894
4788,Samoa,1990,50.3530606054,128.58966126299998
4816,Sao Tome and Principe,1990,32.124710836599995,98.3849819764
4844,Saudi Arabia,1990,7360.23584324,33807.0354949
4872,Scotland,1990,4590.43529902,13627.417605300001
4900,Senegal,1990,1990.14674381,6246.16394971
4928,Serbia,1990,2807.02080911,11910.1040049
4956,Seychelles,1990,31.807121150100002,89.1482256985
4984,Sierra Leone,1990,921.937873484,3034.9004806999997
5012,Singapore,1990,3161.794579,10589.681611
5040,Slovakia,1990,1856.44643172,7833.75594281
5068,Slovenia,1990,755.188780401,3281.11326103
5096,Solomon Islands,1990,83.3206004212,201.34491410599998
5124,Somalia,1990,1293.98809832,4147.3701594
5152,South Africa,1990,15996.8158255,60552.4675678
5180,South Asia,1990,270291.112305,924141.013792
5208,South Korea,1990,34894.0268334,107493.34873299999
5236,South Sudan,1990,1787.75319574,5954.67442405
5264,Southeast Asia,1990,140094.153007,374235.526014
5292,"Southeast Asia, East Asia, and Oceania",1990,485721.176855,1262984.78851
5320,Southern Latin America,1990,31751.270109400004,115840.005864
5348,Southern Sub-Saharan Africa,1990,20953.3273622,76583.6462536
5376,Spain,1990,56090.3268681,153306.86394500002
5404,Sri Lanka,1990,5227.55365675,14629.030300600001
5432,Sub-Saharan Africa,1990,130383.19730799999,424065.247119
5460,Sudan,1990,4366.98395333,17513.3668042
5488,Suriname,1990,168.924027494,862.4850235069999
5516,Swaziland,1990,285.32994878799997,922.2762712660001
5544,Sweden,1990,7937.60120164,27461.260664499998
5572,Switzerland,1990,9548.769407200001,25172.4415836
5600,Syria,1990,3156.28432004,12564.3538322
5628,Taiwan,1990,9797.50124784,27575.8203995
5656,Tajikistan,1990,1540.02794171,5459.2272095
5684,Tanzania,1990,6380.36583719,19711.044068799998
5712,Thailand,1990,20568.567601400002,58191.716342299995
5740,Timor,1990,175.222495805,464.403195226
5768,Togo,1990,905.441015379,2851.88779045
5796,Tonga,1990,29.3712513827,73.0488082365
5824,Trinidad and Tobago,1990,572.861876515,3097.0276126
5852,Tropical Latin America,1990,69950.93847180001,298145.10268899996
5880,Tunisia,1990,2434.32741409,10510.7432299
5908,Turkey,1990,18587.7503793,104930.440847
5936,Turkmenistan,1990,1280.93971863,4746.97800808
5964,Uganda,1990,3709.06740586,11181.142593200002
5992,Ukraine,1990,15955.4731736,68793.2301209
6020,United Arab Emirates,1990,1167.52586653,5837.74873662
6048,United Kingdom,1990,56414.2428358,176716.092042
6076,United States,1990,280450.08353400003,866619.7158620001
6104,United States Virgin Islands,1990,52.9084827837,293.621583144
6132,Uruguay,1990,1895.95380538,7023.1723928
6160,Uzbekistan,1990,5843.44061336,21117.9184602
6188,Vanuatu,1990,40.9559580269,106.60255892200001
6216,Venezuela,1990,8988.39037394,43794.936989999995
6244,Vietnam,1990,16736.0088178,42521.306100099995
6272,Wales,1990,2542.34181105,7695.82906785
6300,Western Europe,1990,450369.493534,1284586.56063
6328,Western Sub-Saharan Africa,1990,51938.910409,167156.241738
6356,World,1990,2265308.6578,7439535.469989999
6384,Yemen,1990,2868.40009011,11358.899527200001
6412,Zambia,1990,2280.22636637,7021.33712324
6440,Zimbabwe,1990,3199.86612015,10238.380915
